Date,Product_SKU,Category,Our_Price,Our_Inventory_Level,Is_Our_Promo,Image_URL,Competitor_Price_CompA,Competitor_Price_CompB
2025-09-24,HRX By Hrithik Roshan Men Training Jacket,Apparel,1782.2,194,0,,1874.19,1745.2
2025-09-25,Nike Men Air Max Excee Sneakers,Footwear,6000.93,185,0,,5728.08,6223.18
2025-09-25,Adidas Men Black Solid T-Shirt,Apparel,993.62,193,0,,922.35,1010.41
2025-09-25,Levis Men 512 Slim Tapered Fit Jeans,Apparel,2525.79,186,0,,2718.09,2560.11
2025-09-25,HRX By Hrithik Roshan Men Training Jacket,Apparel,1804.7,191,0,,1889.94,1731.76
2025-09-26,Nike Men Air Max Excee Sneakers,Footwear,5975.23,194,0,,6417.54,6476.65
2025-09-26,Adidas Men Black Solid T-Shirt,Apparel,998.43,185,0,,983.89,936.65
2025-09-26,Levis Men 512 Slim Tapered Fit Jeans,Apparel,2493.07,187,0,,2578.67,2605.87
2025-09-26,HRX By Hrithik Roshan Men Training Jacket,Apparel,1793.12,191,0,,1923.62,1904.9
2025-09-27,Nike Men Air Max Excee Sneakers,Footwear,6062.65,188,0,,5817.94,5931.18
2025-09-27,Adidas Men Black Solid T-Shirt,Apparel,1004.16,184,0,,926.14,929.39
2025-09-27,Levis Men 512 Slim Tapered Fit Jeans,Apparel,2504.55,187,0,,2343.39,2524.98
2025-09-27,HRX By Hrithik Roshan Men Training Jacket,Apparel,1805.97,188,0,,1711.54,1797.75
2025-09-28,Nike Men Air Max Excee Sneakers,Footwear,6047.96,185,0,,5607.96,5941.61
2025-09-28,Adidas Men Black Solid T-Shirt,Apparel,991.86,185,0,,992.36,1079.57
2025-09-28,Levis Men 512 Slim Tapered Fit Jeans,Apparel,2486.74,193,0,,2543.41,2252.57
2025-09-28,HRX By Hrithik Roshan Men Training Jacket,Apparel,1803.16,185,0,,1930.17,1851.13
2025-09-29,Nike Men Air Max Excee Sneakers,Footwear,6046.57,186,0,,6090.7,6694.29
2025-09-29,Adidas Men Black Solid T-Shirt,Apparel,992.82,188,0,,1066.08,1091.29
2025-09-29,Levis Men 512 Slim Tapered Fit Jeans,Apparel,2502.51,192,0,,2430.03,2717.41
2025-09-29,HRX By Hrithik Roshan Men Training Jacket,Apparel,1793.4,193,0,,1883.63,1725.27
2025-09-30,Nike Men Air Max Excee Sneakers,Footwear,6009.71,183,0,,6235.74,6471.05
2025-09-30,Adidas Men Black Solid T-Shirt,Apparel,995.54,189,1,,1035.46,1072.7
2025-09-30,Levis Men 512 Slim Tapered Fit Jeans,Apparel,2498.74,187,0,,2435.09,2760.52
2025-09-30,HRX By Hrithik Roshan Men Training Jacket,Apparel,1800.06,180,1,,1872.31,1918.86
2025-10-01,Nike Men Air Max Excee Sneakers,Footwear,6038.16,187,0,,6420.28,5951.36
2025-10-01,Adidas Men Black Solid T-Shirt,Apparel,999.1,192,0,,1063.9,919.25
2025-10-01,Levis Men 512 Slim Tapered Fit Jeans,Apparel,2503.05,177,0,,2532.46,2600.68
2025-10-01,HRX By Hrithik Roshan Men Training Jacket,Apparel,1797.83,185,0,,1738.35,1748.04
2025-10-02,Nike Men Air Max Excee Sneakers,Footwear,6033.74,179,0,,6313.34,5551.44
2025-10-02,Adidas Men Black Solid T-Shirt,Apparel,1002.95,184,0,,931.95,1023.91
2025-10-02,Levis Men 512 Slim Tapered Fit Jeans,Apparel,2511.18,186,0,,2357.32,2339.06
2025-10-02,HRX By Hrithik Roshan Men Training Jacket,Apparel,1797.68,180,0,,1831.68,1657.9
2025-10-03,Nike Men Air Max Excee Sneakers,Footwear,6006.35,191,0,,6315.66,6338.94
2025-10-03,Adidas Men Black Solid T-Shirt,Apparel,996.47,191,0,,930.28,1113.12
2025-10-03,Levis Men 512 Slim Tapered Fit Jeans,Apparel,2480.91,178,0,,2658.44,2770.98
2025-10-03,HRX By Hrithik Roshan Men Training Jacket,Apparel,1786.34,179,0,,1750.97,1640.52
2025-10-04,Nike Men Air Max Excee Sneakers,Footwear,6008.33,184,0,,6398.97,5554.48
2025-10-04,Adidas Men Black Solid T-Shirt,Apparel,1006.37,183,0,,927.69,1009.5
2025-10-04,Levis Men 512 Slim Tapered Fit Jeans,Apparel,2503.03,178,0,,2536.42,2782.56
2025-10-04,HRX By Hrithik Roshan Men Training Jacket,Apparel,1791.56,185,0,,1730.13,1954.76
2025-10-05,Nike Men Air Max Excee Sneakers,Footwear,6005.72,190,0,,6057.47,6685.85
2025-10-05,Adidas Men Black Solid T-Shirt,Apparel,999.06,182,0,,1019.74,1052.07
2025-10-05,Levis Men 512 Slim Tapered Fit Jeans,Apparel,2525.9,180,0,,2688.03,2298.56
2025-10-05,HRX By Hrithik Roshan Men Training Jacket,Apparel,1792.1,186,0,,1921.25,1963.89
2025-10-06,Nike Men Air Max Excee Sneakers,Footwear,6064.68,186,0,,5762.05,6076.89
2025-10-06,Adidas Men Black Solid T-Shirt,Apparel,994.96,184,0,,1008.28,912.48
2025-10-06,Levis Men 512 Slim Tapered Fit Jeans,Apparel,2503.27,185,0,,2628.95,2630.04
2025-10-06,HRX By Hrithik Roshan Men Training Jacket,Apparel,1815.88,188,0,,1935.27,1962.89
2025-10-07,Nike Men Air Max Excee Sneakers,Footwear,6445.43,172,0,,6308.44,5422.74
2025-10-07,Adidas Men Black Solid T-Shirt,Apparel,929.96,190,0,,988.22,1087.11
2025-10-07,Levis Men 512 Slim Tapered Fit Jeans,Apparel,2680.2,171,0,,2613.21,2686.78
2025-10-07,HRX By Hrithik Roshan Men Training Jacket,Apparel,1922.48,181,0,,1786.5,1739.0
